no,name,category
285,한국원자력안전재단,공공기관 / 공직유관단체
286,한국원자력의학원,공공기관 / 공직유관단체
287,한국원자력통제기술원,공공기관 / 공직유관단체
288,한국원자력환경공단,공공기관 / 공직유관단체
289,한국의료기기안전정보원,공공기관 / 공직유관단체
290,한국의료분쟁조정중재원,공공기관 / 공직유관단체
291,한국의약품안전관리원,공공기관 / 공직유관단체
292,한국인터넷진흥원,공공기관 / 공직유관단체
293,한국임업진흥원,공공기관 / 공직유관단체
294,한국자산관리공사,공공기관 / 공직유관단체
295,한국잡월드,공공기관 / 공직유관단체
296,한국장애인개발원,공공기관 / 공직유관단체
297,한국장애인고용공단,공공기관 / 공직유관단체
298,한국장학재단,공공기관 / 공직유관단체
299,한국재정정보원,공공기관 / 공직유관단체
300,한국저작권보호원,공공기관
301,한국저작권위원회,공공기관 / 공직유관단체
302,한국전기안전공사,공공기관 / 공직유관단체
303,한국전력거래소,공공기관 / 공직유관단체
304,한국전력공사,공공기관 / 공직유관단체
305,한국전력국제원자력대학원대학교,공공기관 / 공직유관단체
306,한국전력기술주식회사,공공기관
307,한국제품안전관리원,공공기관 / 공직유관단체
308,한국조세재정연구원,공공기관 / 공직유관단체
309,한국조폐공사,공공기관 / 공직유관단체
310,한국주택금융공사,공공기관 / 공직유관단체
311,한국중부발전(주),공공기관 / 공직유관단체
312,한국중소벤처기업유통원,공공기관
313,한국지능정보사회진흥원,공공기관 / 공직유관단체
314,한국지식재산보호원,공공기관 / 공직유관단체
315,한국지식재산연구원,공공기관 / 공직유관단체
316,한국지역난방공사,공공기관 / 공직유관단체
317,한국직업능력연구원,공공기관 / 공직유관단체
318,한국철도공사,공공기관 / 공직유관단체
319,한국청소년상담복지개발원,공공기관 / 공직유관단체
320,한국청소년정책연구원,공공기관 / 공직유관단체
321,한국청소년활동진흥원,공공기관 / 공직유관단체
322,한국체육산업개발(주),공공기관 / 공공기관 자회사
323,한국출판문화산업진흥원,공공기관 / 공직유관단체
324,한국치산기술협회,공공기관 / 공직유관단체
325,한국콘텐츠진흥원,공공기관 / 공직유관단체
326,한국탄소산업진흥원,공공기관 / 공직유관단체
327,한국토지주택공사,공공기관 / 공직유관단체
328,한국투자공사,공공기관 / 공직유관단체
329,한국특허기술진흥원,공공기관
330,한국특허전략개발원,공공기관 / 공직유관단체
331,한국특허정보원,공공기관 / 공직유관단체
332,한국학중앙연구원,공공기관 / 공직유관단체
333,한국한의약진흥원,공공기관 / 공직유관단체
334,한국항로표지기술원,공공기관 / 공직유관단체
335,한국해양과학기술원,공공기관 / 공직유관단체
336,한국해양교통안전공단,공공기관 / 공직유관단체
337,한국해양수산개발원,공공기관 / 공직유관단체
338,한국해양수산연수원,공공기관 / 공직유관단체
339,한국해양조사협회,공공기관 / 공직유관단체
340,한국해양진흥공사,공공기관 / 공직유관단체
341,한국해외인프라도시개발지원공사,공공기관 / 공직유관단체
342,한국행정연구원,공공기관 / 공직유관단체
343,한국형사·법무정책연구원,공공기관 / 공직유관단체
344,한국환경공단,공공기관 / 공직유관단체
345,한국환경보전원,공공기관 / 공직유관단체
346,한국환경산업기술원,공공기관 / 공직유관단체
347,한국환경연구원,공공기관 / 공직유관단체
348,한식진흥원,공공기관 / 공직유관단체
349,한전KDN,공공기관
350,한전KPS(주),공공기관
351,한전MCS(주),공공기관
352,한전원자력연료주식회사,공공기관
353,항공안전기술원,공공기관 / 공직유관단체
354,해양수산과학기술진흥원,공공기관 / 공직유관단체
355,해양환경공단,공공기관 / 공직유관단체
356,(사)경상남도교통문화연수원,공직유관단체
357,(사)경상북도종합자원봉사센터,공직유관단체
358,(사)광주광역시교통문화연수원,공직유관단체
359,(사)광주광역시도시재생공동체센터,공직유관단체
360,(사)광주광역시장애인종합지원센터,공직유관단체
361,(사)대구경북섬유산업연합회,공직유관단체
362,(사)대한민국농구협회,공직유관단체
363,(사)대한바둑협회,공직유관단체
364,(사)대한배구협회,공직유관단체
365,(사)대한산업안전협회,공직유관단체
366,(사)대한씨름협회,공직유관단체
367,(사)대한야구소프트볼협회,공직유관단체
368,(사)대한축구협회,공직유관단체
369,(사)벤처기업협회,공직유관단체
370,(사)수원시자원봉사센터,공직유관단체
371,(사)스페셜올림픽코리아,공직유관단체
372,(사)양주시자원봉사센터,공직유관단체
373,(사)오산시자원봉사센터,공직유관단체
374,(사)의령군장학회,공직유관단체
375,(사)한국대학스포츠협의회,공직유관단체
376,(사)한국문학예술저작권협회,공직유관단체
377,(사)한국방송실연자권리협회,공직유관단체
378,(사)한국산업기술보호협회,공직유관단체
379,(사)한국소방시설관리협회,공직유관단체
380,(사)한국음악실연자연합회,공직유관단체
381,(사)한국음악저작권협회,공직유관단체
382,(사)한국잡지협회,공직유관단체
383,(사)한국프로스포츠협회,공직유관단체
384,(사)함께하는 음악저작권협회,공직유관단체
385,(사)화성시자원봉사센터,공직유관단체
386,(재) 한국기원,공직유관단체
387,(재)5.18기념재단,공직유관단체
388,(재)강동문화재단,공직유관단체
389,(재)강릉과학산업진흥원,공직유관단체
390,(재)강릉문화재단,공직유관단체
391,(재)강원테크노파크,공직유관단체
392,(재)거창화강석연구센터,공직유관단체
393,(재)경기테크노파크,공직유관단체
394,(재)경남로봇랜드재단,공직유관단체
395,(재)경남창조경제혁신센터,공직유관단체
396,(재)경남테크노파크,공직유관단체
397,(재)경북IT융합산업기술원,공직유관단체
398,(재)경북문화재단,공직유관단체
399,(재)경북테크노파크,공직유관단체
400,(재)경상남도 투자경제진흥원,공직유관단체
401,(재)경상남도관광재단,공직유관단체
402,(재)경상남도환경재단,공직유관단체
403,(재)경상북도경제진흥원,공직유관단체
404,(재)경상북도농식품유통교육진흥원,공직유관단체
405,(재)경상북도여성정책개발원,공직유관단체
406,(재)경상북도환경연수원,공직유관단체
407,(재)경주문화재단,공직유관단체
408,(재)경주화백컨벤션뷰로,공직유관단체
409,(재)고양국제박람회재단,공직유관단체
410,(재)과학기술시설관리단,공직유관단체
411,(재)관악문화재단,공직유관단체
412,(재)광명시청소년재단,공직유관단체
413,(재)광주광역시여성가족재단,공직유관단체
414,(재)광주미래차모빌리티진흥원,공직유관단체
415,(재)광주정보문화산업진흥원,공직유관단체
416,(재)광주테크노파크,공직유관단체
417,(재)광진문화재단,공직유관단체
418,(재)광진복지재단,공직유관단체
419,(재)국립세계문자박물관,공직유관단체
420,(재)국립심포니오케스트라,공직유관단체
421,(재)국립정동극장,공직유관단체
422,(재)군위문화관광재단,공직유관단체
423,(재)군포산업진흥원,공직유관단체
424,(재)금산인삼약초산업진흥원,공직유관단체
425,(재)나주시농업농촌융복합산업진흥재단,공직유관단체
426,(재)나주시천연염색문화재단,공직유관단체
427,(재)남해마늘연구소,공직유관단체
428,(재)노원문화재단,공직유관단체
429,(재)녹색에너지연구원,공직유관단체
430,(재)달서문화재단,공직유관단체
431,(재)달성문화재단,공직유관단체
432,(재)담양군복지재단,공직유관단체
433,(재)대구광역시동구문화재단,공직유관단체
434,(재)대구광역시북구청소년교육진흥재단,공직유관단체
435,(재)대구테크노파크,공직유관단체
436,(재)대전고암미술문화재단,공직유관단체
437,(재)대전과학산업진흥원,공직유관단체
438,(재)대전일자리경제진흥원,공직유관단체
439,(재)대전창조경제혁신센터,공직유관단체
440,(재)대한건설기계안전관리원,공직유관단체
441,(재)마포문화재단,공직유관단체
442,(재)목포문화재단,공직유관단체
443,(재)목포수산식품지원센터,공직유관단체
444,(재)발효미생물산업진흥원,공직유관단체
445,(재)백운장학회,공직유관단체
